CDKN2A	RB1	-0.999968367215541	0.99580116806033	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.31297709923664124	0.41030534351145037	5.484163575048773e-10	10.360823344278073	10.51917621577517	0	0	0	0	0	0	0	0	0	0	0	1
GATA3	CDKN1B	0.999996481873549	0.969003952218127	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.2824427480916031	0.2595419847328244	4.4379539606496183e-08	11.739658674908663	10.08289996823059	0	0	0	0	0	0	0	0	0	0	0	1
FOXP1	PTEN	0.999994278282159	0.918484301194776	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.27099236641221375	0.22519083969465647	1.1164501244035032e-12	6.302819151511206	11.047879926336542	0	0	0	0	0	0	0	0	0	0	0	1
FOXP1	ERBB4	0.999999513597634	0.988007247793725	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27099236641221375	0.1450381679389313	4.604387400747479e-06	6.302819151511206	6.631120286691596	0	0	0	0	0	0	0	0	0	0	0	1
RB1	CDKN2A	-0.999948334230162	0.994091309453905	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.41030534351145037	0.31297709923664124	5.484163575048773e-10	10.51917621577517	10.360823344278073	0	0	0	0	0	0	0	0	0	0	0	1
ZFP36L1	LAMA2	0.999999107003677	0.967906084006606	0.0	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.29961832061068705	0.30916030534351147	2.4720088310100494e-07	15.829842752552894	4.901644811678819	0	0	0	0	0	0	0	0	0	0	0	1
RUNX1	FANCA	-0.999949791450408	0.939610817941953	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.20801526717557253	0.7137404580152672	0.42560759936129694	7.0113053234452964	7.079141294004401	0	0	0	0	0	0	0	0	0	0	0	1
NCOR1	BCAS3	0.999793134227649	0.777155586438045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5515267175572519	0.3473282442748092	-0.0	6.016318669971989	9.307941847421008	0	0	0	0	0	0	0	0	0	0	0	1
CDKN1B	GATA3	0.999991878257099	0.968332114712812	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.2595419847328244	0.2824427480916031	4.4379539606496183e-08	10.08289996823059	11.739658674908663	0	0	0	0	0	0	0	0	0	0	0	1
ASXL1	USP28	0.999983490072129	0.835706914344685	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25190839694656486	0.4351145038167939	0.00024927944699399643	3.2514056400186004	6.504678320457364	0	0	0	0	0	0	0	0	0	0	0	1
